I_DAT_PEM,I_KW_TOT
2013-01-31,0.00519999980926514
2013-02-28,0.00519999980926514
2013-03-31,0.00519999980926514
2013-04-30,0.00769999980926514
2013-05-31,0.017699999809265142
2013-06-30,0.21949999976158144
2013-07-31,0.30949999976158143
2013-08-31,0.33649999976158146
2013-09-30,0.38449999976158145
2013-10-31,0.4144999997615815
2013-11-30,0.4144999997615815
2013-12-31,0.501599999666214
2014-01-31,0.5990999996662141
2014-02-28,0.6990999996662141
2014-03-31,0.6990999996662141
2014-04-30,0.7776999981403352
2014-05-31,0.8086999981403352
2014-06-30,0.8086999981403352
2014-07-31,0.8086999981403352
2014-08-31,0.8086999981403352
2014-09-30,0.8746999981403352
2014-10-31,1.0826999981403351
2014-11-30,1.0926999981403351
2014-12-31,1.0926999981403351
2015-01-31,1.0926999981403351
2015-02-28,1.0926999981403351
2015-03-31,1.121699998140335
2015-04-30,1.121699998140335
2015-05-31,1.2016999981403351
2015-06-30,1.276699998140335
2015-07-31,1.276699998140335
2015-08-31,1.276699998140335
2015-09-30,1.286699998140335
2015-10-31,1.286699998140335
2015-11-30,1.286699998140335
2015-12-31,1.286699998140335
2016-01-31,1.286699998140335
2016-02-29,1.286699998140335
2016-03-31,1.286699998140335
2016-04-30,1.286699998140335
2016-05-31,1.286699998140335
2016-06-30,1.3537999980449678
2016-07-31,1.3537999980449678
2016-08-31,1.4437999980449678
2016-09-30,1.5562999980449679
2016-10-31,1.636299998044968
2016-11-30,1.656299998044968
2016-12-31,1.9961799981594088
2017-01-31,2.156679998159409
2017-02-28,2.171679998159409
2017-03-31,2.4840799982547765
2017-04-30,2.5270799982547767
2017-05-31,3.023579998254777
2017-06-30,3.048259998321534
2017-07-31,3.092259998321534
2017-08-31,3.1964599981307993
2017-09-30,3.3139599981307994
2017-10-31,3.350859998226167
2017-11-30,3.402859998226167
2017-12-31,4.929659997463228
2018-01-31,4.987959997177125
2018-02-28,5.116829997062684
2018-03-31,5.283329997062684
2018-04-30,5.947929996967317
2018-05-31,7.0784299969673175
2018-06-30,8.047172996997835
2018-07-31,8.514422996759416
2018-08-31,8.757822996377946
2018-09-30,8.947872995376589
2018-10-31,9.07857299590111
2018-11-30,9.853372994661333
2018-12-31,11.436572969675066
2019-01-31,11.689572969675066
2019-02-28,13.785302970170976
2019-03-31,14.820712969303132
2019-04-30,15.542922968626023
2019-05-31,16.441922967910767
2019-06-30,17.36638296675682
2019-07-31,20.331442964196206
2019-08-31,33.37319096302986
2019-09-30,36.583150964260106
2019-10-31,39.56431996250153
2019-11-30,42.44798696053029
2019-12-31,44.92111594569684
2020-01-31,48.40263094407321
2020-02-29,50.50780094319583
2020-03-31,55.5567009419799
2020-04-30,59.78014293664695
2020-05-31,64.92813793355228
2020-06-30,69.6913839274049
2020-07-31,74.74919592112305
2020-08-31,78.38592492014172
2020-09-30,82.46356491693857
2020-10-31,86.91862991383674
2020-11-30,104.11914991071822
2020-12-31,109.47313591085376
2021-01-31,113.9541459028721
2021-02-28,119.25040989303591
2021-03-31,125.02149888271096
2021-04-30,132.30555085361007
2021-05-31,143.11175984978678
2021-06-30,150.9702508428097
2021-07-31,157.72969284033778
2021-08-31,165.21309983348849
2021-09-30,172.8162278276682
2021-10-31,181.39912183111906
2021-11-30,191.43464382082223
2021-12-31,200.48142381435633
2022-01-31,209.28173080462219
2022-02-28,227.07995279484987
2022-03-31,249.4193947890997
2022-04-30,267.6993417725563
2022-05-31,300.68665781694654
2022-06-30,325.0070238068104
2022-07-31,353.26745679926876
2022-08-31,378.00294578337673
2022-09-30,405.0484657635093
2022-10-31,438.6915387468338
2022-11-30,470.7229647338689
2022-12-31,496.4177867237032
2023-01-31,528.1675757205785
2023-02-28,568.4868877044619
2023-03-31,616.1632856849731
2023-04-30,656.4061076886952
2023-05-31,704.9429696786403
2023-06-30,744.5663766807616
2023-07-31,789.9633856891095
2023-08-31,832.8859116864502
2023-09-30,868.2302466816008
2023-10-31,916.2646476514338
2023-11-30,950.8639356478452
2023-12-31,996.2556246301531
2024-01-31,1038.359821622133
2024-02-29,1078.4994195691345
2024-03-31,1116.5205715551374
2024-04-30,1143.8436485477685
2024-05-31,1175.861355545163
2024-06-30,1205.8933375325796
2024-07-31,1205.8933375325796
2024-08-31,1205.8933375325796
2024-09-30,1205.9533375325796
2024-10-31,1206.7233375325795
